,DisGENet_id,Disease_name,Disease_type,Disease_class,Disease_class_name
160842,C1857069,SCHOPF-SCHULZ-PASSARGE SYNDROME (disorder),disease,C11,   Eye Diseases
160843,C1857069,SCHOPF-SCHULZ-PASSARGE SYNDROME (disorder),disease,C17,   Skin and Connective Tissue Diseases
160844,C1857069,SCHOPF-SCHULZ-PASSARGE SYNDROME (disorder),disease,C07,   Stomatognathic Diseases
160845,C1857093,"DYSTONIA 2, TORSION, AUTOSOMAL RECESSIVE (disorder)",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160846,C1857093,"DYSTONIA 2, TORSION, AUTOSOMAL RECESSIVE (disorder)",disease,C10,   Nervous System Diseases
160847,C1857242,"Rhizomelic chondrodysplasia punctata, type 2",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160848,C1857242,"Rhizomelic chondrodysplasia punctata, type 2",disease,C18,   Nutritional and Metabolic Diseases
160849,C1857242,"Rhizomelic chondrodysplasia punctata, type 2",disease,C05,   Musculoskeletal Diseases
160859,C1857276,Trichohepatoenteric Syndrome,disease,C23,"   Pathological Conditions, Signs and Symptoms"
160860,C1857276,Trichohepatoenteric Syndrome,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160861,C1857276,Trichohepatoenteric Syndrome,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
160862,C1857276,Trichohepatoenteric Syndrome,disease,C17,   Skin and Connective Tissue Diseases
160867,C1857277,Donnai-Barrow syndrome,disease,C23,"   Pathological Conditions, Signs and Symptoms"
160868,C1857277,Donnai-Barrow syndrome,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160869,C1857277,Donnai-Barrow syndrome,disease,C18,   Nutritional and Metabolic Diseases
160870,C1857277,Donnai-Barrow syndrome,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
160871,C1857277,Donnai-Barrow syndrome,disease,C11,   Eye Diseases
160872,C1857277,Donnai-Barrow syndrome,disease,C12,   Male Urogenital Diseases
160873,C1857277,Donnai-Barrow syndrome,disease,C10,   Nervous System Diseases
160874,C1857277,Donnai-Barrow syndrome,disease,C09,   Otorhinolaryngologic Diseases
160875,C1857299,"RETINAL NONATTACHMENT, NONSYNDROMIC CONGENITAL",disease,C11,   Eye Diseases
160876,C1857316,POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160877,C1857316,POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY,disease,C18,   Nutritional and Metabolic Diseases
160878,C1857316,POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY,disease,C01,   Infections
160879,C1857316,POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY,disease,C17,   Skin and Connective Tissue Diseases
160880,C1857316,POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY,disease,C05,   Musculoskeletal Diseases
160881,C1857316,POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY,disease,C10,   Nervous System Diseases
160882,C1857344,Split-Hand-Foot Malformation With Sensorineural Hearing Loss,disease,C23,"   Pathological Conditions, Signs and Symptoms"
160883,C1857344,Split-Hand-Foot Malformation With Sensorineural Hearing Loss,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160884,C1857344,Split-Hand-Foot Malformation With Sensorineural Hearing Loss,disease,C05,   Musculoskeletal Diseases
160885,C1857344,Split-Hand-Foot Malformation With Sensorineural Hearing Loss,disease,C10,   Nervous System Diseases
160886,C1857344,Split-Hand-Foot Malformation With Sensorineural Hearing Loss,disease,C09,   Otorhinolaryngologic Diseases
160893,C1857423,Cystic Kidney Disease with Ventriculomegaly,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
160894,C1857423,Cystic Kidney Disease with Ventriculomegaly,disease,C12,   Male Urogenital Diseases
160895,C1857423,Cystic Kidney Disease with Ventriculomegaly,disease,C10,   Nervous System Diseases
160898,C1857512,Temtamy syndrome,disease,C23,"   Pathological Conditions, Signs and Symptoms"
160899,C1857512,Temtamy syndrome,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160900,C1857512,Temtamy syndrome,disease,C11,   Eye Diseases
160901,C1857512,Temtamy syndrome,disease,C05,   Musculoskeletal Diseases
160902,C1857512,Temtamy syndrome,disease,C10,   Nervous System Diseases
160903,C1857569,CORNEAL ENDOTHELIAL DYSTROPHY 2,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160904,C1857569,CORNEAL ENDOTHELIAL DYSTROPHY 2,disease,C11,   Eye Diseases
160905,C1857572,CORNEAL DYSTROPHY AND PERCEPTIVE DEAFNESS,disease,C23,"   Pathological Conditions, Signs and Symptoms"
160906,C1857572,CORNEAL DYSTROPHY AND PERCEPTIVE DEAFNESS,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160907,C1857572,CORNEAL DYSTROPHY AND PERCEPTIVE DEAFNESS,disease,C11,   Eye Diseases
160908,C1857572,CORNEAL DYSTROPHY AND PERCEPTIVE DEAFNESS,disease,C10,   Nervous System Diseases
160909,C1857572,CORNEAL DYSTROPHY AND PERCEPTIVE DEAFNESS,disease,C09,   Otorhinolaryngologic Diseases
160910,C1857574,CORNEA PLANA 2,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160911,C1857574,CORNEA PLANA 2,disease,C11,   Eye Diseases
160912,C1857586,CONOTRUNCAL HEART MALFORMATIONS (disorder),disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160913,C1857586,CONOTRUNCAL HEART MALFORMATIONS (disorder),disease,C14,   Cardiovascular Diseases
160920,C1857587,Orstavik Lindemann Solberg syndrome,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160921,C1857587,Orstavik Lindemann Solberg syndrome,disease,C04,   Neoplasms
160922,C1857587,Orstavik Lindemann Solberg syndrome,disease,C05,   Musculoskeletal Diseases
160923,C1857587,Orstavik Lindemann Solberg syndrome,disease,C07,   Stomatognathic Diseases
160924,C1857587,Orstavik Lindemann Solberg syndrome,disease,C14,   Cardiovascular Diseases
160925,C1857588,Amaurosis hypertrichosis,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160926,C1857588,Amaurosis hypertrichosis,disease,C11,   Eye Diseases
160927,C1857588,Amaurosis hypertrichosis,disease,C17,   Skin and Connective Tissue Diseases
160928,C1857618,Achromatopsia 2,disease,C23,"   Pathological Conditions, Signs and Symptoms"
160929,C1857618,Achromatopsia 2,disease,C11,   Eye Diseases
160930,C1857618,Achromatopsia 2,disease,C10,   Nervous System Diseases
160931,C1857662,COACH syndrome,disease,C23,"   Pathological Conditions, Signs and Symptoms"
160932,C1857662,COACH syndrome,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160933,C1857662,COACH syndrome,disease,C06,   Digestive System Diseases
160934,C1857662,COACH syndrome,disease,C11,   Eye Diseases
160935,C1857662,COACH syndrome,disease,C10,   Nervous System Diseases
160946,C1857663,Yunis Varon syndrome,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160947,C1857663,Yunis Varon syndrome,disease,C17,   Skin and Connective Tissue Diseases
160948,C1857663,Yunis Varon syndrome,disease,C05,   Musculoskeletal Diseases
160949,C1857663,Yunis Varon syndrome,disease,C07,   Stomatognathic Diseases
160950,C1857682,Combined Oxidative Phosphorylation Deficiency 4,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160951,C1857682,Combined Oxidative Phosphorylation Deficiency 4,disease,C18,   Nutritional and Metabolic Diseases
160952,C1857719,"Anemia, Diamond-Blackfan, 3",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160953,C1857719,"Anemia, Diamond-Blackfan, 3",disease,C15,   Hemic and Lymphatic Diseases
160957,C1857743,LEBER CONGENITAL AMAUROSIS 12 (disorder),disease,C11,   Eye Diseases
160958,C1857747,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 2 (disorder),disease,C18,   Nutritional and Metabolic Diseases
160959,C1857747,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 2 (disorder),disease,C10,   Nervous System Diseases
160960,C1857750,"DEAFNESS, AUTOSOMAL RECESSIVE 66",disease,C23,"   Pathological Conditions, Signs and Symptoms"
160961,C1857750,"DEAFNESS, AUTOSOMAL RECESSIVE 66",disease,C10,   Nervous System Diseases
160962,C1857750,"DEAFNESS, AUTOSOMAL RECESSIVE 66",disease,C09,   Otorhinolaryngologic Diseases
160966,C1857768,"Cataract, Pulverulent, Juvenile-Onset",disease,C11,   Eye Diseases
160967,C1857775,"Diabetes Mellitus, Neonatal, with Congenital Hypothyroidism",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160968,C1857775,"Diabetes Mellitus, Neonatal, with Congenital Hypothyroidism",disease,C18,   Nutritional and Metabolic Diseases
160969,C1857775,"Diabetes Mellitus, Neonatal, with Congenital Hypothyroidism",disease,C05,   Musculoskeletal Diseases
160970,C1857775,"Diabetes Mellitus, Neonatal, with Congenital Hypothyroidism",disease,C19,   Endocrine System Diseases
160971,C1857776,"3-@METHYLGLUTACONIC ACIDURIA, TYPE V",disease,C23,"   Pathological Conditions, Signs and Symptoms"
160972,C1857776,"3-@METHYLGLUTACONIC ACIDURIA, TYPE V",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160973,C1857776,"3-@METHYLGLUTACONIC ACIDURIA, TYPE V",disease,C18,   Nutritional and Metabolic Diseases
160974,C1857776,"3-@METHYLGLUTACONIC ACIDURIA, TYPE V",disease,C10,   Nervous System Diseases
160975,C1857776,"3-@METHYLGLUTACONIC ACIDURIA, TYPE V",disease,C14,   Cardiovascular Diseases
160976,C1857777,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 10",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160977,C1857777,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 10",disease,C14,   Cardiovascular Diseases
160978,C1857779,SENIOR-LOKEN SYNDROME 6,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160979,C1857779,SENIOR-LOKEN SYNDROME 6,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
160980,C1857779,SENIOR-LOKEN SYNDROME 6,disease,C11,   Eye Diseases
160981,C1857779,SENIOR-LOKEN SYNDROME 6,disease,C12,   Male Urogenital Diseases
160982,C1857779,SENIOR-LOKEN SYNDROME 6,disease,C10,   Nervous System Diseases
160983,C1857780,JOUBERT SYNDROME 5,disease,C23,"   Pathological Conditions, Signs and Symptoms"
160984,C1857780,JOUBERT SYNDROME 5,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
160985,C1857780,JOUBERT SYNDROME 5,disease,C11,   Eye Diseases
160986,C1857780,JOUBERT SYNDROME 5,disease,C12,   Male Urogenital Diseases
160987,C1857780,JOUBERT SYNDROME 5,disease,C10,   Nervous System Diseases
160988,C1857781,Diaphragmatic Hernia 3,disease,C23,"   Pathological Conditions, Signs and Symptoms"
160989,C1857798,Immunodeficiency due to Defect in CD3-Zeta,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160990,C1857798,Immunodeficiency due to Defect in CD3-Zeta,disease,C20,   Immune System Diseases
160991,C1857802,MORM syndrome,disease,C23,"   Pathological Conditions, Signs and Symptoms"
160992,C1857802,MORM syndrome,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
160993,C1857802,MORM syndrome,disease,C18,   Nutritional and Metabolic Diseases
160994,C1857802,MORM syndrome,disease,C11,   Eye Diseases
160995,C1857802,MORM syndrome,disease,C12,   Male Urogenital Diseases
160996,C1857802,MORM syndrome,disease,C10,   Nervous System Diseases
160997,C1857802,MORM syndrome,disease,F03,   Mental Disorders
160998,C1857802,MORM syndrome,disease,F01,   Behavior and Behavior Mechanisms
160999,C1857809,"DEAFNESS, AUTOSOMAL RECESSIVE 44",disease,C23,"   Pathological Conditions, Signs and Symptoms"
161000,C1857809,"DEAFNESS, AUTOSOMAL RECESSIVE 44",disease,C10,   Nervous System Diseases
161001,C1857809,"DEAFNESS, AUTOSOMAL RECESSIVE 44",disease,C09,   Otorhinolaryngologic Diseases
161002,C1857811,"DEAFNESS, AUTOSOMAL RECESSIVE 49",disease,C23,"   Pathological Conditions, Signs and Symptoms"
161003,C1857811,"DEAFNESS, AUTOSOMAL RECESSIVE 49",disease,C10,   Nervous System Diseases
161004,C1857811,"DEAFNESS, AUTOSOMAL RECESSIVE 49",disease,C09,   Otorhinolaryngologic Diseases
161005,C1857813,"Macular Degeneration, Age-Related, 7",disease,C11,   Eye Diseases
161006,C1857821,LEBER CONGENITAL AMAUROSIS 10 (disorder),disease,C11,   Eye Diseases
161007,C1857829,"Heart-hand syndrome, Slovenian type",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161008,C1857829,"Heart-hand syndrome, Slovenian type",disease,C05,   Musculoskeletal Diseases
161009,C1857829,"Heart-hand syndrome, Slovenian type",disease,C14,   Cardiovascular Diseases
161010,C1857853,"Cataract, Congenital Nuclear, Autosomal Recessive 2",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161011,C1857853,"Cataract, Congenital Nuclear, Autosomal Recessive 2",disease,C11,   Eye Diseases
161012,C1857854,Proopiomelanocortin Deficiency,disease,C23,"   Pathological Conditions, Signs and Symptoms"
161013,C1857854,Proopiomelanocortin Deficiency,disease,C18,   Nutritional and Metabolic Diseases
161014,C1857854,Proopiomelanocortin Deficiency,disease,C19,   Endocrine System Diseases
161015,C1857970,"Hypobetalipoproteinemia, Familial, 2",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161016,C1857970,"Hypobetalipoproteinemia, Familial, 2",disease,C18,   Nutritional and Metabolic Diseases
161017,C1857977,MICROHYDRANENCEPHALY,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161018,C1857977,MICROHYDRANENCEPHALY,disease,C05,   Musculoskeletal Diseases
161019,C1857977,MICROHYDRANENCEPHALY,disease,C10,   Nervous System Diseases
161020,C1858054,BARDET-BIEDL SYNDROME 6,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161021,C1858054,BARDET-BIEDL SYNDROME 6,disease,C11,   Eye Diseases
161022,C1858054,BARDET-BIEDL SYNDROME 6,disease,C10,   Nervous System Diseases
161023,C1858084,"STICKLER SYNDROME, TYPE II (disorder)",disease,C11,   Eye Diseases
161024,C1858084,"STICKLER SYNDROME, TYPE II (disorder)",disease,C17,   Skin and Connective Tissue Diseases
161025,C1858106,"SPASTIC PARAPLEGIA 12, AUTOSOMAL DOMINANT (disorder)",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161026,C1858106,"SPASTIC PARAPLEGIA 12, AUTOSOMAL DOMINANT (disorder)",disease,C10,   Nervous System Diseases
161027,C1858108,"Microcephaly, Primary Autosomal Recessive, 3",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161028,C1858108,"Microcephaly, Primary Autosomal Recessive, 3",disease,C05,   Musculoskeletal Diseases
161029,C1858108,"Microcephaly, Primary Autosomal Recessive, 3",disease,C10,   Nervous System Diseases
161030,C1858142,"ICHTHYOSIS, LAMELLAR, 3",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161031,C1858142,"ICHTHYOSIS, LAMELLAR, 3",disease,C17,   Skin and Connective Tissue Diseases
161032,C1858154,"CARDIOMYOPATHY, DILATED, 1I",disease,C14,   Cardiovascular Diseases
161033,C1858160,"CRANIOSYNOSTOSIS, TYPE 2",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161034,C1858160,"CRANIOSYNOSTOSIS, TYPE 2",disease,C05,   Musculoskeletal Diseases
161035,C1858172,"Deafness, Autosomal Dominant 20",disease,C23,"   Pathological Conditions, Signs and Symptoms"
161036,C1858172,"Deafness, Autosomal Dominant 20",disease,C10,   Nervous System Diseases
161037,C1858172,"Deafness, Autosomal Dominant 20",disease,C09,   Otorhinolaryngologic Diseases
161038,C1858266,"Bare Lymphocyte Syndrome, Type I",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161039,C1858266,"Bare Lymphocyte Syndrome, Type I",disease,C18,   Nutritional and Metabolic Diseases
161040,C1858266,"Bare Lymphocyte Syndrome, Type I",disease,C20,   Immune System Diseases
161047,C1858278,"Charcot-Marie-Tooth disease, Type 4B2",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161048,C1858278,"Charcot-Marie-Tooth disease, Type 4B2",disease,C10,   Nervous System Diseases
161049,C1858301,LEBER CONGENITAL AMAUROSIS 5,disease,C11,   Eye Diseases
161050,C1858302,Ectodermal dysplasia/ skin fragility syndrome,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161051,C1858302,Ectodermal dysplasia/ skin fragility syndrome,disease,C17,   Skin and Connective Tissue Diseases
161052,C1858328,"Bile acid synthesis defect, congenital, 4",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161053,C1858328,"Bile acid synthesis defect, congenital, 4",disease,C06,   Digestive System Diseases
161054,C1858328,"Bile acid synthesis defect, congenital, 4",disease,C18,   Nutritional and Metabolic Diseases
161055,C1858338,"Neuropathy, hereditary motor and sensory, Okinawa type",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161056,C1858338,"Neuropathy, hereditary motor and sensory, Okinawa type",disease,C10,   Nervous System Diseases
161057,C1858351,SPINOCEREBELLAR ATAXIA 11,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161058,C1858351,SPINOCEREBELLAR ATAXIA 11,disease,C10,   Nervous System Diseases
161059,C1858379,"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 5 (disorder)",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161060,C1858379,"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 5 (disorder)",disease,C14,   Cardiovascular Diseases
161061,C1858380,"COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 7 (disorder)",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161062,C1858380,"COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 7 (disorder)",disease,C06,   Digestive System Diseases
161063,C1858380,"COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 7 (disorder)",disease,C04,   Neoplasms
161064,C1858380,"COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 7 (disorder)",disease,C18,   Nutritional and Metabolic Diseases
161065,C1858386,Leber Congenital Amaurosis 4,disease,C11,   Eye Diseases
161066,C1858391,ATAXIA-TELANGIECTASIA-LIKE DISORDER,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161067,C1858391,ATAXIA-TELANGIECTASIA-LIKE DISORDER,disease,C18,   Nutritional and Metabolic Diseases
161068,C1858391,ATAXIA-TELANGIECTASIA-LIKE DISORDER,disease,C20,   Immune System Diseases
161069,C1858391,ATAXIA-TELANGIECTASIA-LIKE DISORDER,disease,C10,   Nervous System Diseases
161070,C1858391,ATAXIA-TELANGIECTASIA-LIKE DISORDER,disease,C14,   Cardiovascular Diseases
161071,C1858392,NEPHRONOPHTHISIS 3,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
161072,C1858392,NEPHRONOPHTHISIS 3,disease,C12,   Male Urogenital Diseases
161090,C1858479,"Spastic paraplegia 11, autosomal recessive",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161091,C1858479,"Spastic paraplegia 11, autosomal recessive",disease,C10,   Nervous System Diseases
161092,C1858496,"Advanced Sleep-Phase Syndrome, Familial",disease,C10,   Nervous System Diseases
161093,C1858496,"Advanced Sleep-Phase Syndrome, Familial",disease,F03,   Mental Disorders
161094,C1858496,"Advanced Sleep-Phase Syndrome, Familial",disease,C24,   Occupational Diseases
161101,C1858501,Spinocerebellar Ataxia 12,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161102,C1858501,Spinocerebellar Ataxia 12,disease,C10,   Nervous System Diseases
161103,C1858517,SPINAL MUSCULAR ATROPHY WITH RESPIRATORY DISTRESS 1,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161104,C1858517,SPINAL MUSCULAR ATROPHY WITH RESPIRATORY DISTRESS 1,disease,C08,   Respiratory Tract Diseases
161105,C1858517,SPINAL MUSCULAR ATROPHY WITH RESPIRATORY DISTRESS 1,disease,C10,   Nervous System Diseases
161106,C1858556,OVERLAP CONNECTIVE TISSUE DISEASE,disease,C11,   Eye Diseases
161107,C1858556,OVERLAP CONNECTIVE TISSUE DISEASE,disease,C17,   Skin and Connective Tissue Diseases
161108,C1858556,OVERLAP CONNECTIVE TISSUE DISEASE,disease,C14,   Cardiovascular Diseases
161109,C1858558,"Rheumatoid Arthritis, Systemic Juvenile",disease,C17,   Skin and Connective Tissue Diseases
161110,C1858558,"Rheumatoid Arthritis, Systemic Juvenile",disease,C05,   Musculoskeletal Diseases
161111,C1858558,"Rheumatoid Arthritis, Systemic Juvenile",disease,C20,   Immune System Diseases
161115,C1858562,"ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 3",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161116,C1858562,"ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 3",disease,C17,   Skin and Connective Tissue Diseases
161117,C1858562,"ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 3",disease,C05,   Musculoskeletal Diseases
161118,C1858562,"ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 3",disease,C07,   Stomatognathic Diseases
161119,C1858593,"Limb-girdle muscular dystrophy, type 2E",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161120,C1858593,"Limb-girdle muscular dystrophy, type 2E",disease,C05,   Musculoskeletal Diseases
161121,C1858593,"Limb-girdle muscular dystrophy, type 2E",disease,C08,   Respiratory Tract Diseases
161122,C1858593,"Limb-girdle muscular dystrophy, type 2E",disease,C10,   Nervous System Diseases
161123,C1858593,"Limb-girdle muscular dystrophy, type 2E",disease,C14,   Cardiovascular Diseases
161124,C1858656,"Short Stature, Idiopathic, Autosomal",disease,C05,   Musculoskeletal Diseases
161125,C1858656,"Short Stature, Idiopathic, Autosomal",disease,C10,   Nervous System Diseases
161126,C1858656,"Short Stature, Idiopathic, Autosomal",disease,C19,   Endocrine System Diseases
161127,C1858664,"HEMOCHROMATOSIS, TYPE 3",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161128,C1858664,"HEMOCHROMATOSIS, TYPE 3",disease,C18,   Nutritional and Metabolic Diseases
161129,C1858672,"GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 1",disease,C23,"   Pathological Conditions, Signs and Symptoms"
161130,C1858672,"GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 1",disease,C10,   Nervous System Diseases
161131,C1858673,"GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 2",disease,C23,"   Pathological Conditions, Signs and Symptoms"
161132,C1858673,"GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 2",disease,C10,   Nervous System Diseases
161133,C1858677,LEBER CONGENITAL AMAUROSIS 3 (disorder),disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161134,C1858677,LEBER CONGENITAL AMAUROSIS 3 (disorder),disease,C11,   Eye Diseases
161135,C1858680,Familial encephalopathy with neuroserpin inclusion bodies,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161136,C1858680,Familial encephalopathy with neuroserpin inclusion bodies,disease,C10,   Nervous System Diseases
161137,C1858712,"Spastic paraplegia 10, autosomal dominant",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161138,C1858712,"Spastic paraplegia 10, autosomal dominant",disease,C10,   Nervous System Diseases
161139,C1858723,Poikiloderma with Neutropenia,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161140,C1858723,Poikiloderma with Neutropenia,disease,C17,   Skin and Connective Tissue Diseases
161141,C1858723,Poikiloderma with Neutropenia,disease,C15,   Hemic and Lymphatic Diseases
161142,C1858725,"NONCOMPACTION OF LEFT VENTRICULAR MYOCARDIUM, FAMILIAL ISOLATED, AUTOSOMAL DOMINANT 1",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161143,C1858725,"NONCOMPACTION OF LEFT VENTRICULAR MYOCARDIUM, FAMILIAL ISOLATED, AUTOSOMAL DOMINANT 1",disease,C14,   Cardiovascular Diseases
161144,C1858726,"Congenital Cataracts, Facial Dysmorphism, And Neuropathy",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161145,C1858726,"Congenital Cataracts, Facial Dysmorphism, And Neuropathy",disease,C11,   Eye Diseases
161146,C1858726,"Congenital Cataracts, Facial Dysmorphism, And Neuropathy",disease,C05,   Musculoskeletal Diseases
161147,C1858726,"Congenital Cataracts, Facial Dysmorphism, And Neuropathy",disease,C10,   Nervous System Diseases
161148,C1858763,"Cardiomyopathy, Dilated, 1g",disease,C14,   Cardiovascular Diseases
161149,C1858804,"Cerebellar Ataxia, Deafness, and Narcolepsy",disease,C23,"   Pathological Conditions, Signs and Symptoms"
161150,C1858804,"Cerebellar Ataxia, Deafness, and Narcolepsy",disease,C10,   Nervous System Diseases
161151,C1858804,"Cerebellar Ataxia, Deafness, and Narcolepsy",disease,F03,   Mental Disorders
161152,C1858804,"Cerebellar Ataxia, Deafness, and Narcolepsy",disease,C09,   Otorhinolaryngologic Diseases
161153,C1858806,CONE-ROD DYSTROPHY 3 (disorder),disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161154,C1858806,CONE-ROD DYSTROPHY 3 (disorder),disease,C11,   Eye Diseases
161160,C1858915,FOCAL SEGMENTAL GLOMERULOSCLEROSIS 2,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
161161,C1858915,FOCAL SEGMENTAL GLOMERULOSCLEROSIS 2,disease,C12,   Male Urogenital Diseases
161162,C1858968,"Autoimmune Lymphoproliferative Syndrome, Type IIA",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161163,C1858968,"Autoimmune Lymphoproliferative Syndrome, Type IIA",disease,C20,   Immune System Diseases
161164,C1858968,"Autoimmune Lymphoproliferative Syndrome, Type IIA",disease,C15,   Hemic and Lymphatic Diseases
161165,C1858990,"Beta Thalassemia, Dominant Inclusion Body Type",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
161166,C1858990,"Beta Thalassemia, Dominant Inclusion Body Type",disease,C15,   Hemic and Lymphatic Diseases
